Course Code,Section,Faculty,Time,Room,Seats Available
BIO103L,1,TBA,S 08:00 AM - 11:00 AM,SAC415,0
BIO103L,2,TBA,S 08:00 AM - 11:10 AM,SAC415_v1,0
BIO103L,3,TBA,S 02:30 PM - 05:30 PM,SAC415,0
BIO103L,4,TBA,S 02:40 PM - 05:50 PM,SAC415_v1,0
BIO103L,5,TBA,S 11:15 AM - 02:15 PM,SAC415,0
BIO103L,6,TBA,S 11:20 AM - 02:30 PM,SAC415_v1,0
BIO103L,7,TBA,M 08:00 AM - 11:00 AM,SAC415,0
BIO103L,8,TBA,M 08:00 AM - 11:10 AM,SAC415_v1,0
BIO103L,9,TBA,M 11:15 AM - 02:15 PM,SAC415,0
BIO103L,10,TBA,T 11:15 AM - 02:15 PM,SAC415,0
BIO103L,11,TBA,M 11:20 AM - 02:30 PM,SAC415_v1,0
BIO103L,12,TBA,M 02:30 PM - 05:30 PM,SAC415,0
BIO103L,13,TBA,M 02:40 PM - 05:50 PM,SAC415_v1,0
BIO103L,14,TBA,T 08:00 AM - 11:00 AM,SAC415,0
BIO103L,15,TBA,T 08:00 AM - 11:10 AM,SAC415_v1,0
BIO103L,17,TBA,T 02:30 PM - 05:30 PM,SAC415,0
BIO103L,18,TBA,T 02:40 PM - 05:50 PM,SAC415_v1,0
BIO103L,19,TBA,W 11:15 AM - 02:15 PM,SAC415,0
BIO103L,20,TBA,W 11:20 AM - 02:30 PM,SAC415_v1,0
BIO103L,21,TBA,W 02:30 PM - 05:30 PM,SAC415,0
BIO103L,22,TBA,W 02:40 PM - 05:50 PM,SAC415_v1,0
BIO103L,23,TBA,R 08:00 AM - 11:00 AM,SAC415,0
BIO103L,24,TBA,R 08:00 AM - 11:10 AM,SAC415_v1,0
BIO103L,25,TBA,R 11:15 AM - 02:15 PM,SAC415,0
BIO103L,26,TBA,R 11:20 AM - 02:30 PM,SAC415_v1,0
BIO103L,27,TBA,R 02:30 PM - 05:30 PM,SAC415,0
BIO103L,28,TBA,R 02:40 PM - 05:50 PM,SAC415_v1,0
BIO103L,29,TBA,A 08:00 AM - 11:00 AM,SAC415,0
